compound_name,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,YRed/Ox
phen-III,4.346851851851852,4.346851851851852,0,0,0.14615715820215588,10.604651162790697,730.8599999999999,706.6679999999999,732.16607972827,203,1,3,-0.253960355,0.25396035503188663,0.23255813953488372,0.3953488372093023,0.5581395348837209,3.0855406789618405,1.1349753596086292e-07,1912.6258615334336,28.141406665871923,22.893241424144044,25.43364725924833,20.84846922834953,13.6049357401206,13.6049357401206,9.6474159926894,9.6474159926894,7.033791121455528,7.033791121455528,5.039220786430706,5.039220786430706,-5.243636364,10186274366.128345,27.903180918063843,12.730799680413703,5.765592790573732,260.1447971091663,0,0,0,0,0,19.790413011458444,29.90387112568325,0,0,0,72.79640482153933,36.39820241076966,69.49840671646723,33.10020430569757,19.790413011458444,65.41754959248634,0,29.90387112568325,0,0,0,146.37566866198748,0,0,0,0,0,0,29.90387112568325,19.790413011458444,0,0,146.37566866198748,0,65.41754959248634,0,77.34,0,0,0,19.790413011458444,0,65.41754959248634,0,37.18106142967846,36.39820241076966,102.7002759472226,0,0,0,26.081111111111113,6.826111111111112,5.8644444444444455,0,36.41611111111112,10.812222222222221,0,0,0,43,0,6,0,0,0,3,6,9,6,0,7,0,0,0,0,9,8.346500000000004,171.13199999999966,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.61
phen-I,4.346851851851852,4.346851851851852,0,0,0.14615715820215588,10.604651162790697,730.8599999999999,706.6679999999999,732.16607972827,205,1,1,-0.253960355,0.25396035503188663,0.23255813953488372,0.3953488372093023,0.5581395348837209,3.0855406789618405,1.1349753596086292e-07,1912.6258615334336,28.141406665871923,22.893241424144044,25.43364725924833,20.84846922834953,13.6049357401206,13.6049357401206,9.6474159926894,9.6474159926894,7.033791121455528,7.033791121455528,5.039220786430706,5.039220786430706,-5.243636364,10186274366.128345,27.903180918063843,12.730799680413703,5.765592790573732,260.1447971091663,0,0,0,0,0,19.790413011458444,29.90387112568325,0,0,0,72.79640482153933,36.39820241076966,69.49840671646723,33.10020430569757,19.790413011458444,65.41754959248634,0,29.90387112568325,0,0,0,146.37566866198748,0,0,0,0,0,0,29.90387112568325,19.790413011458444,0,0,146.37566866198748,0,65.41754959248634,0,77.34,0,0,0,19.790413011458444,0,65.41754959248634,0,37.18106142967846,36.39820241076966,102.7002759472226,0,0,0,26.081111111111113,6.826111111111112,5.8644444444444455,0,36.41611111111112,10.812222222222221,0,0,0,43,0,6,0,0,0,3,6,9,6,0,7,0,0,0,0,9,8.346500000000004,171.13199999999966,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-1.52
bpy-III,4.186481481481481,4.186481481481481,0,0,0.2183400226669215,9.405405405405405,658.794,634.6020000000001,660.16607972827,179,1,3,-0.25462112,0.2546211197806089,0.24324324324324326,0.40540540540540543,0.5135135135135135,3.005228505836846,1.5209999856792004e-07,1100.6355244588483,24.677305050734173,19.893241424144048,22.43364725924833,17.898979485566358,11.37288493255172,11.37288493255172,7.289867403275765,7.289867403275765,4.776652171091974,4.776652171091974,3.0856470325184007,3.0856470325184007,-4.463636364,300214345.84618944,27.12932734351119,15.514648772556368,8.920121853599111,229.22609253694716,0,0,0,0,0,19.790413011458444,29.90387112568325,0,0,0,36.39820241076966,72.79640482153933,37.18106142967846,34.163567969090764,19.790413011458444,0,0,29.90387112568325,0,0,0,146.37566866198748,0,34.163567969090764,0,0,0,0,29.90387112568325,19.790413011458444,0,0,146.37566866198748,0,34.163567969090764,0,77.34,0,0,0,19.790413011458444,0,34.163567969090764,0,37.18106142967846,109.19460723230902,29.90387112568325,0,0,0,25.118888888888883,0,5.4894444444444455,0,34.784444444444446,10.607222222222223,0,0,0,37,0,6,0,0,0,0,6,6,6,0,7,3,0,0,0,6,6.4283000000000055,142.4039999999998,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.57
bpy-I,4.186481481481481,4.186481481481481,0,0,0.2183400226669215,9.405405405405405,658.794,634.6020000000001,660.16607972827,181,1,1,-0.25462112,0.2546211197806089,0.24324324324324326,0.40540540540540543,0.5135135135135135,3.005228505836846,1.5209999856792004e-07,1100.6355244588483,24.677305050734173,19.893241424144048,22.43364725924833,17.898979485566358,11.37288493255172,11.37288493255172,7.289867403275765,7.289867403275765,4.776652171091974,4.776652171091974,3.0856470325184007,3.0856470325184007,-4.463636364,300214345.84618944,27.12932734351119,15.514648772556368,8.920121853599111,229.22609253694716,0,0,0,0,0,19.790413011458444,29.90387112568325,0,0,0,36.39820241076966,72.79640482153933,37.18106142967846,34.163567969090764,19.790413011458444,0,0,29.90387112568325,0,0,0,146.37566866198748,0,34.163567969090764,0,0,0,0,29.90387112568325,19.790413011458444,0,0,146.37566866198748,0,34.163567969090764,0,77.34,0,0,0,19.790413011458444,0,34.163567969090764,0,37.18106142967846,109.19460723230902,29.90387112568325,0,0,0,25.118888888888883,0,5.4894444444444455,0,34.784444444444446,10.607222222222223,0,0,0,37,0,6,0,0,0,0,6,6,6,0,7,3,0,0,0,6,6.4283000000000055,142.4039999999998,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-1.5
dMeO-III,5.333918414588057,5.333918414588057,0,0,0.1485216144518842,10.581818181818182,911.0160000000001,874.7280000000001,912.2294678322701,275,1,3,-0.495993523,0.49599352293336285,0.2545454545454545,0.4,0.5272727272727272,3.2449188928309307,1.389961374195972e-07,2297.0596117859254,37.60550828100967,30.878629551789466,33.419035386893746,26.54059965825199,16.779170354295367,16.779170354295367,11.652964946368515,11.652964946368515,8.943135107683887,8.943135107683887,6.399720584164832,6.399720584164832,-6.443636364,2287567226960.1284,38.286112420102725,17.136884357023455,7.2649856623096545,329.0157211725874,28.421177722800294,67.597275305401,0,0,0,19.790413011458444,29.90387112568325,0,0,0,0,72.79640482153933,69.49840671646723,42.65878524766519,48.211590734258735,65.41754959248634,0,29.90387112568325,0,0,42.65878524766519,109.97746625121779,0,34.49707099970343,28.421177722800294,0,34.49707099970343,0,72.56265637334846,19.790413011458444,0,0,109.97746625121779,0,65.41754959248634,0,132.72000000000003,0,0,0,19.790413011458444,0,99.91462059218976,0,79.83984667734363,72.79640482153933,29.90387112568325,28.421177722800294,32.00351048752834,0,26.371893424036283,5.712517006802722,4.948611111111111,4.786221655328799,22.928802437641725,10.343826530612244,0,9.904617346938775,0.14285714285714285,55,0,12,0,0,0,3,6,9,12,0,13,6,0,0,0,9,8.398100000000005,210.4439999999995,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.21
dMeO-I,5.333918414588057,5.333918414588057,0,0,0.1485216144518842,10.581818181818182,911.0160000000001,874.7280000000001,912.2294678322701,279,1,1,-0.495993523,0.49599352293336285,0.2545454545454545,0.4,0.5272727272727272,3.2449188928309307,1.389961374195972e-07,2297.0596117859254,37.60550828100967,30.878629551789466,33.419035386893746,26.54059965825199,16.779170354295367,16.779170354295367,11.652964946368515,11.652964946368515,8.943135107683887,8.943135107683887,6.399720584164832,6.399720584164832,-6.443636364,2287567226960.1284,38.286112420102725,17.136884357023455,7.2649856623096545,329.0157211725874,28.421177722800294,67.597275305401,0,0,0,19.790413011458444,29.90387112568325,0,0,0,0,72.79640482153933,69.49840671646723,42.65878524766519,48.211590734258735,65.41754959248634,0,29.90387112568325,0,0,42.65878524766519,109.97746625121779,0,34.49707099970343,28.421177722800294,0,34.49707099970343,0,72.56265637334846,19.790413011458444,0,0,109.97746625121779,0,65.41754959248634,0,132.72000000000003,0,0,0,19.790413011458444,0,99.91462059218976,0,79.83984667734363,72.79640482153933,29.90387112568325,28.421177722800294,32.00351048752834,0,26.371893424036283,5.712517006802722,4.948611111111111,4.786221655328799,22.928802437641725,10.343826530612244,0,9.904617346938775,0.14285714285714285,55,0,12,0,0,0,3,6,9,12,0,13,6,0,0,0,9,8.398100000000005,210.4439999999995,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-1.91
OspyMepyz-I,4.5408333333333335,4.5408333333333335,0,0,0.28046132689643993,10.486486486486486,668.7940000000002,642.5860000000002,670.1951229520902,187,1,1,-0.22233301,0.22233300989254776,0.43243243243243246,0.6756756756756757,0.8648648648648649,3.6892002585095947,1.684210481492153e-07,1375.6600037153119,25.070338854006454,20.908593114247616,23.4489989493519,17.440693381224552,11.45188044844821,11.45188044844821,8.55699071547658,8.55699071547658,5.225058146188478,5.225058146188478,3.487108307441957,3.487108307441957,-4.223636364,248789545.95757797,25.856918732900095,11.22731001142929,6.133254517904701,227.2303717450618,0,0,23.271451111340113,0,0,19.790413011458444,0,28.695168782475157,20.39472723320415,0,12.13273413692322,74.21422303939691,24.787374286452305,24.787374286452305,19.790413011458444,0,0,49.08989601567931,0,27.694948798762496,0,108.22675695046225,0,23.271451111340113,0,0,0,0,49.08989601567931,19.790413011458444,27.694948798762496,22.253805966787983,85.97295098367425,0,23.271451111340113,0,97.06,0,0,0,19.790413011458444,0,45.52525707812809,0,18.72721174058074,113.66789978243675,30.362684275098566,0,7.036470144,0,9.081666666666667,17.002033887629125,4.433839548164945,3.143529856,11.59184051398337,15.027235659695977,8.016717057193247,0,0.15384615384615385,37,0,10,0,0,0,0,6,6,10,0,11,4,0,0,0,6,4.1371800000000025,135.9099999999999,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.9
OspyMepyz-III,4.5408333333333335,4.5408333333333335,0,0,0.28046132689643993,10.486486486486486,668.7940000000002,642.5860000000002,670.1940257922702,185,1,3,-0.22233301,0.22233300989254776,0.43243243243243246,0.6756756756756757,0.8648648648648649,3.6892002585095947,1.684210481492153e-07,1375.6600037153119,25.070338854006454,20.908593114247616,23.4489989493519,17.440693381224552,11.45188044844821,11.45188044844821,8.55699071547658,8.55699071547658,5.225058146188478,5.225058146188478,3.487108307441957,3.487108307441957,-4.223636364,248789545.95757797,25.856918732900095,11.22731001142929,6.133254517904701,227.2303717450618,0,0,23.271451111340113,0,0,19.790413011458444,0,28.695168782475157,20.39472723320415,0,12.13273413692322,74.21422303939691,24.787374286452305,24.787374286452305,19.790413011458444,0,0,49.08989601567931,0,27.694948798762496,0,108.22675695046225,0,23.271451111340113,0,0,0,0,49.08989601567931,19.790413011458444,27.694948798762496,22.253805966787983,85.97295098367425,0,23.271451111340113,0,97.06,0,0,0,19.790413011458444,0,45.52525707812809,0,18.72721174058074,113.66789978243675,30.362684275098566,0,7.036470144,0,9.081666666666667,17.002033887629125,4.433839548164945,3.143529856,11.59184051398337,15.027235659695977,8.016717057193247,0,0.15384615384615385,37,0,10,0,0,0,0,6,6,10,0,11,4,0,0,0,6,4.1371800000000025,135.9099999999999,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.59
Ostpy-I,4.588240740740741,4.588240740740741,0,0,0.21846546687191537,9.945945945945946,656.778,634.6020000000001,658.15152682409,179,1,1,-0.25462064,0.25462063976016264,0.2702702702702703,0.5135135135135135,0.7297297297297297,2.994170924224319,1.684210481728534e-07,1287.9654127507056,24.41779202674033,19.73854088576479,22.278946720869076,17.865305980755146,11.464384351080314,11.464384351080314,7.676046890244145,7.676046890244145,5.207481934432005,5.207481934432005,3.497134424603017,3.497134424603017,-4.463636364,346142638.7570982,25.623961436430275,13.013506661011656,6.815236896330381,228.2202613834179,0,0,0,0,0,19.790413011458444,19.935914083788834,9.967957041894417,0,0,36.39820241076966,72.79640482153933,24.787374286452305,45.55142395878768,19.790413011458444,0,0,29.90387112568325,0,0,0,133.98198151876133,0,45.55142395878768,0,0,0,0,29.90387112568325,19.790413011458444,0,0,133.98198151876133,0,45.55142395878768,0,77.34,0,0,0,19.790413011458444,0,45.55142395878768,0,24.787374286452305,109.19460723230902,29.90387112568325,0,0,0,26.379904257999492,0,6.922348828420258,0,34.95785084404132,7.0732294028722595,0,0,0,37,0,6,0,0,0,0,6,6,6,0,7,4,0,0,0,6,6.408700000000006,141.3979999999998,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-1.48
Ostpy-III,4.588240740740741,4.588240740740741,0,0,0.21846546687191537,9.945945945945946,656.778,634.6020000000001,658.1504296642701,177,1,3,-0.25462064,0.25462063976016264,0.2702702702702703,0.5135135135135135,0.7297297297297297,2.994170924224319,1.684210481728534e-07,1287.9654127507056,24.41779202674033,19.73854088576479,22.278946720869076,17.865305980755146,11.464384351080314,11.464384351080314,7.676046890244145,7.676046890244145,5.207481934432005,5.207481934432005,3.497134424603017,3.497134424603017,-4.463636364,346142638.7570982,25.623961436430275,13.013506661011656,6.815236896330381,228.2202613834179,0,0,0,0,0,19.790413011458444,19.935914083788834,9.967957041894417,0,0,36.39820241076966,72.79640482153933,24.787374286452305,45.55142395878768,19.790413011458444,0,0,29.90387112568325,0,0,0,133.98198151876133,0,45.55142395878768,0,0,0,0,29.90387112568325,19.790413011458444,0,0,133.98198151876133,0,45.55142395878768,0,77.34,0,0,0,19.790413011458444,0,45.55142395878768,0,24.787374286452305,109.19460723230902,29.90387112568325,0,0,0,26.379904257999492,0,6.922348828420258,0,34.95785084404132,7.0732294028722595,0,0,0,37,0,6,0,0,0,0,6,6,6,0,7,4,0,0,0,6,6.408700000000006,141.3979999999998,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.77
Os-bMebi-I,4.71822373393802,4.71822373393802,0,0,0.17484896068164385,11.311475409836065,977.1779999999999,934.8419999999998,978.3264714640901,301,1,1,-0.32449333,0.32449332969651645,0.22950819672131148,0.36065573770491804,0.4918032786885246,4.126607812257483,1.1612194972211782e-07,2934.584547099036,41.06960989614741,34.57652299714378,37.116928832248064,29.262060586270454,19.763946334137003,19.763946334137003,14.898849155309708,14.898849155309708,11.322865976770043,11.322865976770043,8.073121133041084,8.073121133041084,-7.223636364,93882824652784.25,39.248736217533065,15.750794722022532,6.674980802778447,364.0205238593959,27.40259788674813,0,34.946426987999565,0,0,19.790413011458444,0,29.90387112568325,0,0,72.79640482153933,72.79640482153933,42.286031896063136,66.20040861139513,19.790413011458444,66.20040861139513,0,57.30646901243138,42.286031896063136,0,0,145.59280964307868,0,34.946426987999565,0,0,0,0,57.30646901243138,62.07644490752158,0,0,145.59280964307868,0,101.14683559939468,0,106.92,0,0,0,19.790413011458444,0,101.14683559939468,0,0,151.48063912837213,63.80080029751778,29.90387112568325,12.562777777777779,0,28.309342403628115,0,12.70340136054422,5.360555555555557,48.87336734693878,0,0,12.190555555555553,0.125,61,0,12,0,0,0,6,6,12,12,0,13,3,0,0,0,12,9.378499999999999,241.26599999999942,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64
Os-bMebi-III,4.71822373393802,4.71822373393802,0,0,0.17484896068164385,11.311475409836065,977.1779999999999,934.8419999999998,978.3253743042701,299,1,3,-0.32449333,0.32449332969651645,0.22950819672131148,0.36065573770491804,0.4918032786885246,4.126607812257483,1.1612194972211782e-07,2934.584547099036,41.06960989614741,34.57652299714378,37.116928832248064,29.262060586270454,19.763946334137003,19.763946334137003,14.898849155309708,14.898849155309708,11.322865976770043,11.322865976770043,8.073121133041084,8.073121133041084,-7.223636364,93882824652784.25,39.248736217533065,15.750794722022532,6.674980802778447,364.0205238593959,27.40259788674813,0,34.946426987999565,0,0,19.790413011458444,0,29.90387112568325,0,0,72.79640482153933,72.79640482153933,42.286031896063136,66.20040861139513,19.790413011458444,66.20040861139513,0,57.30646901243138,42.286031896063136,0,0,145.59280964307868,0,34.946426987999565,0,0,0,0,57.30646901243138,62.07644490752158,0,0,145.59280964307868,0,101.14683559939468,0,106.92,0,0,0,19.790413011458444,0,101.14683559939468,0,0,151.48063912837213,63.80080029751778,29.90387112568325,12.562777777777779,0,28.309342403628115,0,12.70340136054422,5.360555555555557,48.87336734693878,0,0,12.190555555555553,0.125,61,0,12,0,0,0,6,6,12,12,0,13,3,0,0,0,12,9.378499999999999,241.26599999999942,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
OsCltpy-I,6.154233749055177,6.154233749055177,0,0,0.18544769537337488,10.102564102564102,725.6680000000002,705.5080000000004,726.0735821200901,191,1,1,-0.254619702,0.25461970196786976,0.358974358974359,0.6153846153846154,0.8205128205128205,2.986068760975346,1.7639999524910013e-07,1384.2448808497998,26.158279002746482,20.339769293403997,24.39203302054519,18.652999680989847,11.66371602913546,12.419644975153913,7.971599427112673,8.844470988056642,5.28953127255025,5.725967053022234,3.5763699174402444,3.9897678222659425,-3.883636364,669717221.6871569,28.132743339044726,13.775260136014008,7.584248552199302,248.82679383718127,0,0,0,0,0,19.790413011458444,19.935914083788834,9.967957041894417,0,0,47.46734805431147,72.79640482153933,34.83264091393496,45.55142395878768,19.790413011458444,23.20187978046503,0,29.90387112568325,0,0,0,131.89451400932074,0,45.55142395878768,0,0,0,23.20187978046503,29.90387112568325,19.790413011458444,0,0,121.8492473818381,10.045266627482652,45.55142395878768,0,77.34,0,0,0,19.790413011458444,10.045266627482652,45.55142395878768,0,49.052842560298735,72.79640482153933,29.90387112568325,23.20187978046503,0,12.308467498110353,26.262558578987147,1.243159486016629,6.151608087679518,0,29.98516439909297,6.937930839002267,0,0,0,39,0,6,0,0,0,0,6,6,6,0,9,4,0,0,0,6,7.715500000000007,151.41799999999967,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-1.29
OsCltpy-III,6.154233749055177,6.154233749055177,0,0,0.18544769537337488,10.102564102564102,725.6680000000002,705.5080000000004,726.0724849602701,189,1,3,-0.254619702,0.25461970196786976,0.358974358974359,0.6153846153846154,0.8205128205128205,2.986068760975346,1.7639999524910013e-07,1384.2448808497998,26.158279002746482,20.339769293403997,24.39203302054519,18.652999680989847,11.66371602913546,12.419644975153913,7.971599427112673,8.844470988056642,5.28953127255025,5.725967053022234,3.5763699174402444,3.9897678222659425,-3.883636364,669717221.6871569,28.132743339044726,13.775260136014008,7.584248552199302,248.82679383718127,0,0,0,0,0,19.790413011458444,19.935914083788834,9.967957041894417,0,0,47.46734805431147,72.79640482153933,34.83264091393496,45.55142395878768,19.790413011458444,23.20187978046503,0,29.90387112568325,0,0,0,131.89451400932074,0,45.55142395878768,0,0,0,23.20187978046503,29.90387112568325,19.790413011458444,0,0,121.8492473818381,10.045266627482652,45.55142395878768,0,77.34,0,0,0,19.790413011458444,10.045266627482652,45.55142395878768,0,49.052842560298735,72.79640482153933,29.90387112568325,23.20187978046503,0,12.308467498110353,26.262558578987147,1.243159486016629,6.151608087679518,0,29.98516439909297,6.937930839002267,0,0,0,39,0,6,0,0,0,0,6,6,6,0,9,4,0,0,0,6,7.715500000000007,151.41799999999967,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1.05
